,trial,lr,k,batch_size,latent_channels,rmse,pruned
0,0,0.00023533156661551276,6,32,8,0.1691,0
1,3,0.00010382404634365504,3,32,8,0.2034,0
2,6,0.0007730899230866228,9,64,16,0.1574,0
3,11,0.0001014321468618107,6,64,16,0.2158,0
4,18,0.0003500254309571182,3,16,16,0.1636,0
5,23,0.0004535326430320761,3,16,16,0.1563,0
6,28,0.000741644137519916,9,16,16,0.1494,0
