,trial,lr,k,batch_size,latent_channels,rmse,pruned
0,2,0.0005719710862864827,6,64,4,0.1727,0
1,5,0.0001612270284603935,9,32,4,0.1881,0
2,7,0.0002752646550483671,6,64,8,0.1688,0
3,9,0.0006066917790059542,6,32,4,0.1615,0
4,12,1.0132386214893287e-05,3,16,16,0.2661,0
5,14,0.000893245361825264,3,16,16,0.1521,0
6,16,7.569008712665743e-05,3,16,16,0.1863,0
7,20,0.0009943884609432995,3,16,16,0.1509,0
8,22,0.0003743535294848638,3,16,4,0.1606,0
9,25,0.0009953367520025103,3,16,16,0.1526,0
10,27,0.0006896473200329874,3,16,16,0.1486,0
11,30,0.0002033635024580178,9,16,4,0.1679,0
